,ID,A1,CA3,CA5,RCC,ROC,D,Point,end,pred,radius,centre
18241,7335,3.130985464982891,9.327730503663483,15.414840018650583,4033.6990508899567,4124.703577498907,52.00736125780657,POINT (-792924.3125 -1161935.875),False,0,,
18242,7335,3.11716458763892,9.262940529651306,15.321079974452234,1774.871185237106,1229.4701600497715,34.70356587622257,POINT (-792971.4375 -1161957.875),False,0,,
18243,7335,3.0147904770294955,9.11051405842767,15.34117442133302,204.7351345846154,240.52928028104628,17.17143794981053,POINT (-793002.5152000003 -1161973.3189000003),False,1,127.24646665002797,POINT (-792937.8914542549 -1162082.881018823)
18244,7335,2.9785589937592545,9.09302436871121,15.2552318521431,96.8316972484524,118.6846762862843,14.366425286190744,POINT (-793016.8027000017 -1161982.8438999988),False,1,127.24646665002797,POINT (-792937.8914542549 -1162082.881018823)
18245,7335,3.09967489792246,9.123276787474683,15.268224224594515,297.1937363066773,131.780442695357,10.54701084177272,POINT (-793027.304299999 -1161992.647500001),False,1,127.24646665002797,POINT (-792937.8914542549 -1162082.881018823)
18246,7335,3.0450428957929705,9.274874753805763,15.326275525177351,138.97084235183107,210.65884798036632,16.27634149436342,POINT (-793034.7056000009 -1162000.1614999995),False,1,127.24646665002797,POINT (-792937.8914542549 -1162082.881018823)
18247,7335,3.1301569600903347,9.24804163349564,15.408977025531406,1666.6889675331788,19553.45995298037,21.84292588906621,POINT (-793044.9563999996 -1162012.804299999),False,0,,
18248,7335,3.0728417776123345,9.264259231815975,15.399411997051608,512.5746546207454,703.8378000525681,48.61709166884832,POINT (-793058.5181000009 -1162029.9272000007),False,1,,
18249,7335,3.061260494113307,9.224212141168302,15.394714575437904,551.3844534750226,701.0327864825452,39.9462124294124,POINT (-793091.25 -1162065.875),False,0,,
18250,7335,3.090109869442659,9.191715837735233,15.35458647080117,745.1329346466848,611.2737846793864,36.76830726049016,POINT (-793120.4276 -1162093.1581000015),False,0,,
18251,7335,3.0403454741792677,9.22048419907553,15.348835170594842,258.095994940249,333.6674112302382,15.461199891796264,POINT (-793148.5406999998 -1162116.8553999998),False,1,392.3663734437902,POINT (-793374.87657422 -1161796.3732333146)
18252,7335,3.0900288554536037,9.197464807038877,15.327184615084708,334.76441902005934,198.10639922634985,19.05830079438954,POINT (-793161.3090000004 -1162125.5742999986),False,1,392.3663734437902,POINT (-793374.87657422 -1161796.3732333146)
